STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,TAVG,TSUN,WT01,WT02,WT03,WT04,WT08,WT09,WT11,WT13,WT15,WT16,WT18,WT19,WT21,WT22
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,10/4/2004,,0,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,10/17/2004,,0,65,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/9/2004,,0,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/11/2004,,0,68,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/12/2004,,0,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/18/2004,,0.12,72,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/21/2004,,0.03,60,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/24/2004,,0,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/25/2004,,0,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/3/2004,,0,75,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/7/2004,,0.41,59,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/8/2004,,0,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/18/2005,,0.39,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,10/25/2005,,,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/25/2006,,,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/26/2006,,,60,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/27/2006,,0.5,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/28/2006,,0.52,60,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/30/2006,,0.01,65,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/3/2006,,,66,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/7/2006,,,71,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/8/2006,,0.02,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/9/2006,,,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/10/2006,,0.01,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/11/2006,,,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/14/2006,,,72,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/15/2006,,,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/16/2006,,0.04,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/17/2006,,,65,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/18/2006,,,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/19/2006,,,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/20/2006,,0.5,65,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/21/2006,,0.5,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/23/2006,,0.04,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/24/2006,,0.21,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/28/2006,,,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/29/2006,,,71,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/31/2006,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/1/2007,,,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/2/2007,,,60,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/3/2007,,,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/4/2007,,,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/5/2007,,,74,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/6/2007,,,74,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/7/2007,,0.23,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/8/2007,,,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/10/2007,,,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/11/2007,,,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/12/2007,,0.01,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/13/2007,,0,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/14/2007,,,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/15/2007,,0.02,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/16/2007,,,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/17/2007,,0.01,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/19/2007,,,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/20/2007,,,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/21/2007,,,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/22/2007,,0.02,66,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/23/2007,,0,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/24/2007,,,71,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/25/2007,,0.44,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/27/2007,,0.04,60,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/28/2007,,,68,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/29/2007,,,70,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/30/2007,,0.63,59,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/31/2007,,0,65,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/1/2007,,0.06,66,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/2/2007,,0.01,63,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/3/2007,,,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/4/2007,,0.14,63,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/5/2007,,0.17,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/6/2007,,0,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/8/2007,,,71,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/10/2007,,0.32,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/12/2007,,0.01,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/13/2007,,0,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/14/2007,,,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/16/2007,,,66,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/19/2007,,0.01,71,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/20/2007,,0.04,68,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/21/2007,,0,72,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/23/2007,,,68,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/24/2007,,0.01,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/25/2007,,,72,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/26/2007,,,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/3/2007,,0.04,68,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/4/2007,,0.19,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/5/2007,,0.44,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/6/2007,,0,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/7/2007,,,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/9/2007,,,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/10/2007,,,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/11/2007,,0.3,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/12/2007,,,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/13/2007,,,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/14/2007,,,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/15/2007,,,60,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/16/2007,,0.01,59,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/17/2007,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/19/2007,,0.01,45,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/21/2007,,,59,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/22/2007,,,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/23/2007,,0.01,64,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/24/2007,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/25/2007,,,59,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/27/2007,,0.01,55,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/28/2007,,0.18,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/29/2007,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/30/2007,,,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,3/31/2007,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/1/2007,,0.27,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/2/2007,,,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/4/2007,,,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/6/2007,,0.14,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/7/2007,,0,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/8/2007,,0.02,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/10/2007,,0.1,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/11/2007,,0,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/12/2007,,,50,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/13/2007,,,49,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/14/2007,,0.01,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/15/2007,,0.04,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/16/2007,,0.35,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/17/2007,,0.03,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/20/2007,,0.01,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/21/2007,,0.07,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/22/2007,,0.01,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/23/2007,,,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/25/2007,,,55,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/27/2007,,0.02,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/28/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/29/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/1/2007,,,50,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/2/2007,,,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/3/2007,,,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/4/2007,,,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/5/2007,,,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/6/2007,,,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/7/2007,,,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/8/2007,,,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/9/2007,,,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/10/2007,,,55,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/11/2007,,,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/12/2007,,,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/14/2007,,,55,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/16/2007,,,45,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/17/2007,,,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/18/2007,,,50,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/19/2007,,0.02,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/20/2007,,0.06,46,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/21/2007,,0.01,28,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/22/2007,,0.16,28,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/23/2007,,0.02,31,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/24/2007,,,29,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/25/2007,,,31,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/26/2007,,,36,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/27/2007,,,40,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/29/2007,,,46,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/30/2007,,,49,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/31/2007,,,52,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/1/2007,,,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/2/2007,,,46,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/3/2007,,,45,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/4/2007,,,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/6/2007,,0.06,41,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/7/2007,,0.09,39,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/8/2007,,0,35,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/9/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/10/2007,,,44,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/11/2007,,,44,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/13/2007,,,35,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/14/2007,,,37,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/15/2007,,,40,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/16/2007,,,37,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/17/2007,,,42,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/18/2007,,,46,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/19/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/21/2007,,,40,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/23/2007,,,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/24/2007,,,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/28/2007,,0.53,37,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/30/2007,,,40,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/2/2007,,,33,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/3/2007,,,34,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/7/2007,,,44,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/8/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/11/2007,,,46,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/12/2007,,,45,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/13/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/14/2007,,,42,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/15/2007,,,42,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/16/2007,,,44,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/17/2007,,,42,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/18/2007,,,43,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/19/2007,,,41,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/20/2007,,,45,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/24/2007,,,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/25/2007,,,48,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/26/2007,,,41,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/27/2007,,0.02,37,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/31/2007,,,42,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/1/2007,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/2/2007,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/3/2007,,,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/5/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/6/2007,,,54,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/7/2007,,0.46,37,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/11/2007,,,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/12/2007,,,44,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/13/2007,,,58,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/14/2007,,0.02,57,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/15/2007,,0,39,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/16/2007,,,40,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/17/2007,,,38,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/18/2007,,,45,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/19/2007,,,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/20/2007,,,59,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/21/2007,,,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/22/2007,,,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/23/2007,,,63,,,,,,,,,,,,,,,
